,Сетей теплоснабжения,Сетей холодного водоснабжения,Сетей горячего водоснабжения,Сетей электроснабжения,Сети газоснабжения,Станций водоподготовки,Водонасосных объектов,Объектов водозабора,Сетей водоотведения,Очистных сооружений канализации,Канализационных насосных станций,Котельных,Тепловых пунктов,Unnamed: 0,T,Po,P,Pa,U,Ff,ff10,ff3,Tn,Tx,VV,Td,tR,Tg
12,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276083,-19.2,752.2,765.6,-0.3,52,4,11,12,-23.3,3.5,50.0,-26.7,12,10
13,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276085,-23.2,752.5,766.1,-0.5,64,2,11,12,-23.2,3.5,20.0,-28.1,12,10
14,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276087,-22.1,753.0,766.6,-0.5,62,3,11,12,-0.9,3.5,20.0,-27.4,12,10
15,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276089,-20.8,753.5,767.0,0.3,60,3,11,12,-0.9,3.5,20.0,-26.5,12,10
16,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190994,-11.1,733.0,752.9,-0.5,90,2,11,12,-0.9,3.5,2.0,-12.5,12,10
17,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190995,-12.4,733.5,753.6,0.1,87,2,11,12,-0.9,-11.1,50.0,-14.2,12,10
18,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190996,-13.1,733.4,753.6,0.0,87,2,11,12,-0.9,3.5,50.0,-14.8,12,10
19,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190997,-13.1,733.4,753.6,0.7,87,2,11,12,-0.9,3.5,50.0,-14.8,12,10
20,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190998,-11.3,732.7,752.6,0.9,90,2,11,12,-12.0,3.5,50.0,-12.7,12,10
21,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190999,-11.4,731.8,751.7,1.0,88,1,11,12,-11.8,3.5,20.0,-13.0,12,10
22,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,191000,-11.2,730.8,750.7,0.8,88,1,11,12,-0.9,3.5,50.0,-12.8,12,10
23,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,191001,-11.3,730.0,749.9,0.6,88,2,11,12,-0.9,3.5,20.0,-12.9,12,10
24,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216555,-1.2,745.6,763.2,0.0,97,2,11,12,-0.9,3.5,2.0,-1.6,12,10
25,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216556,-0.4,745.6,763.0,0.3,94,3,11,12,-0.9,0.5,10.0,-1.3,12,10
26,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216557,-0.1,745.3,762.7,0.7,94,3,11,12,-0.9,3.5,20.0,-1.0,12,10
27,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216558,0.2,744.6,762.0,0.6,90,3,11,12,-0.9,3.5,20.0,-1.2,12,10
28,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216559,-0.1,744.0,761.4,0.8,94,4,11,12,-0.9,3.5,20.0,-1.0,12,10
29,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216560,-0.3,743.2,760.6,0.3,96,3,11,12,-0.9,3.5,20.0,-0.9,12,10
30,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216561,-0.6,742.9,760.3,0.5,96,2,11,12,-0.9,3.5,20.0,-1.2,12,10
31,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216562,-0.6,742.4,759.8,0.4,92,2,11,12,-0.9,3.5,20.0,-1.8,12,10
32,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216555,-1.2,745.6,763.2,0.0,97,2,11,12,-0.9,3.5,2.0,-1.6,12,10
33,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216556,-0.4,745.6,763.0,0.3,94,3,11,12,-0.9,0.5,10.0,-1.3,12,10
34,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216557,-0.1,745.3,762.7,0.7,94,3,11,12,-0.9,3.5,20.0,-1.0,12,10
35,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216558,0.2,744.6,762.0,0.6,90,3,11,12,-0.9,3.5,20.0,-1.2,12,10
36,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216559,-0.1,744.0,761.4,0.8,94,4,11,12,-0.9,3.5,20.0,-1.0,12,10
37,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216560,-0.3,743.2,760.6,0.3,96,3,11,12,-0.9,3.5,20.0,-0.9,12,10
38,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216561,-0.6,742.9,760.3,0.5,96,2,11,12,-0.9,3.5,20.0,-1.2,12,10
39,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216562,-0.6,742.4,759.8,0.4,92,2,11,12,-0.9,3.5,20.0,-1.8,12,10
40,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190786,-10.2,744.7,765.0,1.2,91,3,11,12,-0.9,3.5,50.0,-11.4,12,10
41,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190787,-5.5,743.5,763.3,1.4,95,4,11,12,-0.9,-0.1,4.0,-6.2,12,10
42,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190788,-0.4,742.1,761.5,0.7,99,4,11,12,-0.9,3.5,20.0,-0.5,12,10
43,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190789,-0.3,741.4,760.9,0.5,96,5,11,12,-0.9,3.5,50.0,-0.9,12,10
44,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190790,-0.4,740.9,760.3,0.6,98,4,11,12,-0.9,3.5,10.0,-0.7,12,10
45,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190791,-0.8,740.3,759.7,0.0,99,3,11,12,-0.9,3.5,10.0,-0.9,12,10
46,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190792,-0.8,740.3,759.7,0.7,99,4,11,12,-0.9,3.5,10.0,-0.9,12,10
47,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190793,-0.4,739.6,769.4,0.3,99,4,11,12,-0.9,3.5,10.0,-0.5,12,10
48,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190786,-10.2,744.7,765.0,1.2,91,3,11,12,-0.9,3.5,50.0,-11.4,12,10
49,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190787,-5.5,743.5,763.3,1.4,95,4,11,12,-0.9,-0.1,4.0,-6.2,12,10
50,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190788,-0.4,742.1,761.5,0.7,99,4,11,12,-0.9,3.5,20.0,-0.5,12,10
51,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190789,-0.3,741.4,760.9,0.5,96,5,11,12,-0.9,3.5,50.0,-0.9,12,10
52,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190790,-0.4,740.9,760.3,0.6,98,4,11,12,-0.9,3.5,10.0,-0.7,12,10
53,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190791,-0.8,740.3,759.7,0.0,99,3,11,12,-0.9,3.5,10.0,-0.9,12,10
54,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190792,-0.8,740.3,759.7,0.7,99,4,11,12,-0.9,3.5,10.0,-0.9,12,10
55,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190793,-0.4,739.6,769.4,0.3,99,4,11,12,-0.9,3.5,10.0,-0.5,12,10
56,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189825,6.8,735.6,754.3,0.3,95,1,11,12,-0.9,3.5,50.0,6.1,12,10
57,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189826,8.0,735.3,753.9,0.7,86,3,11,12,-0.9,14.6,20.0,5.8,12,10
58,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189827,11.9,734.6,753.0,0.4,61,4,11,12,-0.9,3.5,50.0,4.6,12,10
59,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189828,14.6,734.2,752.4,0.0,51,4,11,12,-0.9,3.5,20.0,4.6,12,10
60,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189829,11.3,734.2,752.5,-0.3,62,3,11,12,-0.9,3.5,50.0,4.3,12,10
61,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189830,9.3,734.5,753.1,-0.7,63,5,11,12,8.8,3.5,50.0,2.5,12,6
62,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189831,9.3,735.2,753.7,-1.4,61,4,11,12,-0.9,3.5,50.0,2.1,12,10
63,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189832,9.7,736.6,755.1,0.2,57,3,11,10,-0.9,3.5,50.0,1.5,12,10
64,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215349,19.5,749.4,765.7,0.1,34,2,11,12,-0.9,3.5,20.0,3.3,12,10
65,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215350,24.6,749.3,765.4,-1.0,24,3,11,12,-0.9,25.2,20.0,2.8,12,10
66,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215351,25.0,750.3,766.3,-0.7,24,3,11,10,-0.9,3.5,20.0,3.2,12,10
67,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215352,24.1,751.0,767.2,-0.8,27,2,11,12,-0.9,3.5,20.0,4.0,12,10
68,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215353,22.6,751.8,768.0,-0.2,31,2,11,12,-0.9,3.5,20.0,4.6,12,10
69,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215354,17.2,752.0,768.5,0.2,48,1,11,12,10.1,3.5,20.0,5.9,12,10
70,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215355,10.7,751.8,768.7,0.4,50,1,11,12,-0.9,3.5,20.0,0.6,12,10
71,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,215356,12.7,751.4,768.2,-0.2,42,2,11,12,-0.9,3.5,20.0,0.0,12,10
72,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189577,19.3,747.3,765.4,-0.1,38,4,11,12,-0.9,3.5,50.0,4.6,12,10
73,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189578,23.9,747.4,765.1,-0.8,27,4,11,12,-0.9,25.3,50.0,3.8,12,10
74,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189579,24.9,748.2,766.1,-0.7,26,4,11,12,-0.9,3.5,50.0,4.1,12,10
75,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189580,23.8,748.9,766.8,-0.8,26,3,11,12,-0.9,3.5,50.0,3.1,12,10
76,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189581,22.2,749.7,767.8,-0.2,28,4,11,12,-0.9,3.5,50.0,2.8,12,10
77,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189582,14.3,749.9,768.5,0.1,60,1,11,12,11.1,3.5,50.0,6.6,12,10
78,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189583,11.4,749.8,768.5,0.0,47,3,11,12,-0.9,3.5,50.0,0.5,12,10
79,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,189584,13.0,749.8,768.5,0.0,29,4,11,12,-0.9,3.5,50.0,-4.6,12,10
80,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188841,7.9,747.7,766.6,0.2,84,3,11,12,-0.9,3.5,50.0,5.4,12,10
81,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188842,8.7,747.5,766.4,0.1,77,2,11,12,-0.9,11.0,50.0,4.9,12,10
82,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188843,10.1,747.4,766.1,0.4,64,5,11,12,-0.9,3.5,50.0,3.6,12,10
83,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188844,8.8,747.0,765.9,0.5,63,4,11,12,-0.9,3.5,50.0,2.1,12,10
84,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188845,8.7,746.5,765.4,0.8,64,5,11,12,-0.9,3.5,50.0,2.2,12,10
85,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188846,5.6,745.7,764.8,0.7,88,4,11,12,4.0,3.5,50.0,3.7,12,5
86,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188847,5.5,745.0,764.1,1.2,88,2,11,12,-0.9,3.5,50.0,3.7,12,10
87,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,188848,5.8,743.8,762.7,1.2,90,3,11,12,-0.9,3.5,50.0,4.2,12,10
88,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190690,-4.7,734.5,754.0,-0.2,96,4,11,12,-0.9,3.5,4.0,-5.2,12,10
89,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190691,-5.0,734.7,754.3,0.4,96,3,11,12,-0.9,-0.6,10.0,-5.5,12,10
90,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190692,-4.4,734.3,753.8,1.3,96,2,11,12,-0.9,3.5,50.0,-4.9,12,10
91,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190693,-3.4,733.0,752.4,1.7,92,4,11,12,-0.9,3.5,4.0,-4.5,12,10
92,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190694,-0.9,731.3,750.6,0.7,99,3,11,12,-0.9,3.5,10.0,-1.1,12,10
93,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190695,-0.7,730.6,749.8,0.0,99,3,11,12,-1.5,3.5,2.0,-0.8,12,10
94,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190696,-1.3,730.6,749.9,0.1,99,3,11,12,-0.9,3.5,4.0,-1.4,12,10
95,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190697,-1.5,730.5,749.8,0.1,99,3,11,12,-0.9,3.5,4.0,-1.6,12,10
96,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216451,-1.4,734.3,751.6,0.7,99,3,11,12,-0.9,3.5,10.0,-1.6,12,10
97,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216452,-1.0,733.6,750.7,0.7,95,3,11,12,-0.9,-0.6,2.0,-1.7,12,10
98,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216453,-0.8,732.9,750.1,0.4,97,4,11,12,-0.9,3.5,2.0,-1.2,12,10
99,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216454,-1.1,732.5,749.7,-0.3,97,3,11,12,-0.9,3.5,2.0,-1.5,12,10
100,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216455,-2.1,732.8,750.1,-0.3,96,3,11,12,-0.9,3.5,2.0,-2.7,12,10
101,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216456,-2.7,733.1,750.4,-0.7,95,3,11,12,-4.1,3.5,10.0,-3.4,12,10
102,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216457,-3.2,733.8,751.2,-0.7,95,3,11,12,-0.9,3.5,4.0,-3.9,12,10
103,0.0,90.0,0,0,0.0,0.0,80,90,0.0,0.0,0.0,0.0,0,216458,-3.3,734.5,751.9,-0.4,94,2,11,12,-0.9,3.5,2.0,-4.1,12,10
104,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190658,-13.3,737.3,757.6,-1.5,90,2,11,12,-0.9,3.5,4.0,-14.6,12,10
105,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190659,-14.6,738.8,759.2,-1.3,89,2,11,12,-0.9,-14.6,4.0,-16.0,12,10
106,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190660,-17.0,740.1,760.7,-1.9,88,1,11,12,-0.9,3.5,50.0,-18.6,12,10
107,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190661,-19.1,742.0,762.9,-1.8,85,1,11,12,-0.9,3.5,50.0,-21.0,12,10
108,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190662,-20.4,743.8,764.8,-1.3,84,1,11,12,-20.4,3.5,50.0,-22.4,12,10
109,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190663,-18.8,745.1,766.1,-0.9,86,1,11,12,-19.3,3.5,20.0,-20.6,12,10
110,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190664,-18.2,746.0,766.9,-0.2,87,1,11,12,-0.9,3.5,50.0,-19.9,12,10
111,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190665,-17.6,746.2,767.2,0.2,87,2,11,12,-0.9,3.5,50.0,-19.2,12,10
112,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757358,-11.2,729.3,751.1,-1.9,85,4,11,12,-0.9,3.5,4.0,-13.2,12,10
113,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757363,-10.5,731.2,753.0,-1.7,85,4,11,12,-0.9,3.5,4.0,-12.5,12,10
114,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757368,-10.6,732.9,754.7,-1.6,81,4,11,12,-0.9,3.5,10.0,-13.2,12,10
115,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757373,-11.6,734.5,756.5,-2.8,81,6,11,12,-0.9,3.5,10.0,-14.2,12,10
116,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757378,-13.0,737.3,759.6,-2.6,77,3,11,12,-0.9,3.5,10.0,-16.3,12,10
117,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757383,-13.2,739.9,762.2,-2.3,85,1,11,12,-0.9,3.5,10.0,-15.2,12,10
118,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757388,-13.7,742.2,764.7,-1.3,84,1,11,12,-0.9,3.5,10.0,-15.9,12,10
119,81.05,91.88,0,0,0.0,0.0,0,100,100.0,78.5,51.5,55.71,0,757393,-12.8,743.5,765.8,-0.6,84,1,11,12,-0.9,3.5,10.0,-14.9,12,10
120,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190625,-9.3,743.2,763.3,1.3,92,6,10,12,-0.9,3.5,4.0,-10.4,12,10
121,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190626,-8.3,741.9,761.9,1.1,93,5,11,12,-0.9,-7.4,10.0,-9.2,12,10
122,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190627,-7.5,740.8,760.7,0.9,93,5,11,12,-0.9,3.5,20.0,-8.4,12,10
123,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190628,-7.7,739.9,759.8,0.6,93,5,11,12,-0.9,3.5,50.0,-8.7,12,10
124,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190629,-9.5,739.3,759.4,0.8,93,2,11,12,-0.9,3.5,20.0,-10.4,12,10
125,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190630,-11.7,738.5,758.8,0.2,92,3,11,12,-22.1,3.5,50.0,-12.7,12,10
126,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190631,-19.5,738.3,759.1,-0.2,85,2,11,12,-0.9,3.5,50.0,-21.4,12,10
127,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190632,-20.3,738.5,759.4,-0.2,84,2,11,12,-0.9,3.5,10.0,-22.3,12,10
128,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190609,-26.3,750.6,772.3,1.2,79,2,11,12,-0.9,3.5,50.0,-28.9,12,10
129,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190610,-22.2,749.4,770.8,2.0,82,3,11,12,-0.9,-15.1,50.0,-24.4,12,10
130,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190611,-15.7,747.4,768.2,1.4,87,4,11,12,-0.9,3.5,50.0,-17.4,12,10
131,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190612,-15.2,746.0,766.7,1.0,88,3,11,12,-0.9,3.5,50.0,-16.7,12,10
132,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190613,-16.4,745.0,765.7,0.0,88,5,11,10,-0.9,3.5,10.0,-17.9,12,10
133,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190614,-16.6,744.6,765.4,0.0,88,5,10,12,-18.8,3.5,2.0,-18.2,12,10
134,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190615,-17.3,745.0,765.9,0.0,87,6,11,12,-0.9,3.5,4.0,-18.9,12,10
135,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190616,-18.1,745.9,766.9,0.0,87,4,11,11,-0.9,3.5,20.0,-19.8,12,10
136,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190545,-22.4,762.0,783.7,0.5,82,3,11,12,-0.9,3.5,50.0,-24.7,12,10
137,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190546,-21.7,761.5,783.1,1.3,83,2,11,12,-0.9,-19.5,50.0,-23.8,12,10
138,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190547,-19.8,760.2,781.7,1.2,84,2,11,12,-0.9,3.5,50.0,-21.8,12,10
139,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190548,-20.9,759.0,780.4,0.5,83,2,11,12,-0.9,3.5,10.0,-23.0,12,10
140,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190549,-23.5,758.5,780.1,0.0,81,1,11,12,-0.9,3.5,10.0,-25.9,12,10
141,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190550,-25.1,758.5,780.3,-0.3,79,1,11,12,-28.2,3.5,10.0,-27.7,12,10
142,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190551,-26.1,758.8,780.7,-0.1,77,1,11,12,-0.9,3.5,20.0,-28.9,12,10
143,70.0,80.0,0,70,0.0,77.5,80,65,95.0,100.0,100.0,70.0,90,190552,-26.7,758.9,781.0,0.2,77,1,11,12,-0.9,3.5,20.0,-29.5,12,10
